0,1,2,grammared,tled,time
000000292908.jpg,คนที่นั่งบนโต๊ะเซอร์ฟ์บนน้ํา,a person riding a surfboard on top of a body of water ,,,0.0
000000475191.jpg,นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม,a female tennis player in action on the court ,นักเตะเทนนิสหญิงกำลังเล่นในสนาม,นักเทนนิสหญิงกำลังเล่นเกมบนสนาม,2.000582218170166
000000471893.jpg,ชายกับผู้หญิงเล่นเกมวีดีโอ,a man and woman playing a video game ,,,0.0
000000410612.jpg,เรือสีแดงและสีขาวอยู่ในน้ําใกล้บ้าน,a red and white boat in the water near a house ,เรือสีแดงและสีขาวอยู่ในน้ำใกล้บ้าน,เรือสีแดงและขาวในน้ำอยู่ใกล้บ้าน,2.1160190105438232
000000281414.jpg,ผู้หญิงที่นั่งบนผนังอิฐ ใช้โทรศัพท์มือถือ,a woman sitting on a brick wall using a cell phone ,,,0.0
000000485895.jpg,จิราฟ 2 ตัว และ เซเบร่า 1 ตัว ในพื้นที่ที่มีหญ้า,two giraffes and a zebra in a grassy area ,จิราฟ 2 ตัว และเซเบร่า 1 ตัว อาศัยอยู่ในพื้นที่ที่มีหญ้า,สองยีราฟและเซบราในพื้นที่หญ้า,2.5617868900299072
000000061333.jpg,แมวที่นอนอยู่บนเตียงข้างหนังสือ,a cat laying on top of a bed next to a book ,,,0.0
000000009590.jpg,คนที่นั่งอยู่รอบโต๊ะไม้ กิน,people sitting around a wooden table eating ,คนที่นั่งอยู่รอบโต๊ะไม้กำลังกิน,ผู้คนนั่งรอบโต๊ะไม้กำลังกินอาหาร,2.005845785140991
000000412887.jpg,หัวสีน้ําตาลและสีขาวมองกล้อง,a brown and white cow looking at the camera ,,,0.0
000000072795.jpg,กลุ่มคนดูเกมเบสบอลที่เล่น,a crowd of people watching a baseball game being played ,กลุ่มคนดูเกมเบสบอลที่เล่น,ผู้คนกำลังชมการเล่นเบสบอล,2.0762622356414795
000000416837.jpg,ม้าที่ขี่บนสนามหญ้าที่มีภูเขา,a horse grazing in a grassy field with mountains ,,,0.0
000000091495.jpg,นักพนันเบสบอลที่เลื่อนเข้าไปในฐาน ขณะที่นักพนันอีกคนหนึ่งดู,a baseball player sliding into a base while another player watches ,,,0.0
000000397303.jpg,ชายยืนอยู่ข้างหน้าผู้หญิงที่ร้าน,a man standing next to a woman at a booth ,,,0.0
000000003845.jpg,จานอาหารที่มีข้าวและผัก,a plate of food with rice and vegetables ,จานอาหารประกอบด้วยข้าวและผัก,อาหารคือข้าวกับผัก,1.6722040176391602
000000386879.jpg,ผู้หญิงสาวสวยงาม จับร็อคเทนนิส,a beautiful young lady holding a tennis racket ,,,0.0
000000058029.jpg,ห้องน้ํา พร้อมห้องน้ํา น้ําซักรีด กระจก และอาบน้ํา,"a bathroom with a toilet, sink, mirror and shower ",ห้องน้ํา พร้อมห้องน้ํา น้ําซักรีด กระจก และอาบน้ำ,ห้องน้ำที่มีห้องน้ำสุขอนามัย,3.0653984546661377
000000400794.jpg,ชายที่นั่งอยู่บนโต๊ะกับแซนวิช,a man sitting at a table with a sandwich ,,,0.0
000000183716.jpg,เด็กๆสองคนใส่เกรียตและถ่ายรูป,two young children are wearing ties and posing for a photo ,,,0.0
000000191614.jpg,สองม้ากําลังวิ่งอยู่ในสนาม,two horses are running in a field ,,,0.0
000000389804.jpg,ห้องน้ําสีขาว ที่นั่งอยู่ข้างถ้วยน้ําในห้องน้ํา,a white toilet sitting next to a sink in a bathroom ,ห้องน้ำสีขาว ที่นั่งอยู่ข้างถ้วยน้ำในห้องน้ำ,โถสุขภัณฑ์สีขาวนั่งอยู่ถัดจากอ่างอาบน้ำในห้องน้ำ,2.870237350463867
000000537153.jpg,คนที่นั่งบนเก้าอี้ที่มองหามหาสมุทร,a person sitting on a bench overlooking the ocean ,,,0.0
000000054593.jpg,เด็กชายในชุดเบสบอลที่โยนไม้ตีกับลูกบอล,a boy in a baseball uniform swinging a bat at a ball ,เด็กชายในชุดเบสบอลที่โยนไม้ตีกับลูกบอล,เด็กผู้ชายในชุดเบสบอลสวิงไม้เบสบอลที่ลูกบอล,2.3379786014556885
000000542127.jpg,คนที่กระโดดบนแผ่นสโนว์บอร์ดในอากาศ,a person jumping a snowboard in the air ,,,0.0
000000283038.jpg,สัญลักษณ์ stop ที่มีแกฟฟิตี้อยู่บนมัน,a stop sign with graffiti on it ,"สัญลักษณ์ ""stop"" ที่มีแกฟฟิตี้อยู่บนมัน",ป้ายหยุดที่มีภาพวาดบนมัน,1.8126535415649414
000000183104.jpg,จิราฟสองตัวยืนอยู่ข้างๆกัน ใกล้หน้าต่าง,two giraffes standing next to each other near a window ,,,0.0
000000419653.jpg,ห้องครัวที่เต็มไปด้วยขยะและขยะ,a kitchen filled with lots of clutter and clutter ,ห้องครัวที่เต็มไปด้วยขยะและขยะ,ห้องครัวที่เต็มไปด้วยสิ่งของมากมาย,2.178797483444214
000000136600.jpg,คอมพิวเตอร์คอมพิวเตอร์ที่เปิดอยู่บนโต๊ะไม้,an open laptop computer sitting on top of a wooden desk ,,,0.0
000000367569.jpg,ห้องนั่งเล่นที่มีเผาไหม้และโซฟา,a living room with a fireplace and a couch ,,,0.0
000000165336.jpg,จิราฟ 2 ตัว และ เซเบร่า 1 ตัว ที่ยืนอยู่บนสนามหญ้า,two giraffes and a zebra standing in a grassy field ,,,0.0
000000526751.jpg,เรือเล็ก ๆ น้อย ๆ ที่จอดอยู่บนชายหาด,a small boat is docked on the shore ,,,0.0
000000125062.jpg,สัตว์ที่ซับอยู่บนชั้นหนังสือ,stuffed animals sitting on top of a book shelf ,,,0.0
000000369310.jpg,สาวน้อยบนกระปุกในห้อง,a little girl on a skateboard in a room ,สาวน้อยนั่งอยู่บนกระปุกในห้อง,เด็กผู้หญิงเล่นสเก็ตบอร์ดในห้อง,2.1696441173553467
000000283520.jpg,ผู้ชายและหญิงที่เล่นเกมฟริสบี ในพื้นที่ที่ป่าไม้,a man and woman playing a game of frisbee in a wooded area ,,,0.0
000000092839.jpg,หมีขั้วโลกที่นั่งบนหินในสวนสัตว์,a polar bear sitting on top of a rock in a zoo enclosure ,หมีขั้วโลกนั่งอยู่บนหินในสวนสัตว์,หมีขั้วโลกนั่งบนหินที่สวนสัตว์,2.263821840286255
000000572408.jpg,หัวสีน้ําตาลใหญ่ยืนอยู่บนสนามหญ้าที่แห้ง,a large brown cow standing on top of a dry grass field ,,,0.0
000000455597.jpg,ผู้หญิงที่ยืนอยู่ในครัว เตรียมอาหาร,a woman standing in a kitchen preparing food ,ผู้หญิงคนนั้นยืนอยู่ในครัว เตรียมอาหาร,ผู้หญิงคนหนึ่งยืนอยู่ในห้องครัวเตรียมอาหาร,2.5502545833587646
000000370478.jpg,โต๊ะทํางานที่มีกระเป๋าเดินทาง และคอมพิวเตอร์เล็ตพอตอยู่บนนั้น,a desk with a suitcase and a laptop on top of it ,,,0.0
000000509258.jpg,สัญลักษณ์ถนนหน้าอาคารขนาดใหญ่,a street sign in front of a large building ,,,0.0
000000224093.jpg,แกะวัวที่แกะวัวที่แกะวัวที่ไร่,a herd of cattle grazing in a field ,,,0.0
000000573094.jpg,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และต้นคริสต์มาส,a living room filled with furniture and a christmas tree ,,,0.0
000000517069.jpg,ผู้หญิงคนหนึ่งนั่งบนเก้าอี้ในเมือง,a woman sitting on a bench in a city ,,,0.0
000000022396.jpg,เครื่องบินบินบินอยู่บนท้องฟ้า,an airplane is flying in the sky ,เครื่องบินบินอยู่บนท้องฟ้า,เครื่องบินกำลังบินอยู่ในท้องฟ้า,1.7218244075775146
000000329542.jpg,ขนมเค้กกับกระเทียมและกระเทียมบนคาน,a cupcake with frosting and sprinkles on a counter ,,,0.0
000000135872.jpg,โต๊ะทํางานที่มีจอคอมพิวเตอร์ คีย์บอร์ดและหนู,"a desk with a computer monitor, keyboard and mouse ",โต๊ะทำงานที่มีจอคอมพิวเตอร์ คีย์บอร์ด และหนู,โต๊ะที่มีจอคอมพิวเตอร์ คีย์บอร์ด และเมาส์,2.33765172958374
000000372819.jpg,สุนัขไล่ล่ากลุ่มสุนัขด้วยสาย,a dog chasing a group of dogs on a leash ,,,0.0
000000306733.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา, สระน้ํา, กระจกและผ้าม่านน้ํา","a bathroom with a tub, sink, mirror and shower curtain ",ห้องน้ํามีถ้วยน้ํา สระน้ํา กระจก และผ้าม่าน,ห้องน้ำที่มีอ่างอาบน้ำ อ่างล้างหน้า ผ้าม่านอาบน้ำ,3.1649012565612797
000000249025.jpg,ถ้วยแก้วที่เต็มไปด้วยดอกไม้สีชมพูบนโต๊ะ,a glass vase filled with pink flowers on a table ,,,0.0
000000367818.jpg,ผู้หญิงที่ยืนอยู่ข้างม้าสีน้ําตาล ในสนามหญ้า,a woman standing next to a brown horse in a grassy field ,ผู้หญิงที่ยืนอยู่ข้างม้าสีน้ำตาลในสนามหญ้า,ผู้หญิงคนหนึ่งยืนอยู่ข้างหน้าม้าสีน้ำตาลในทุ่งหญ้า,2.8181862831115723
000000248631.jpg,คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะ,a laptop computer sitting on top of a desk ,,,0.0
000000078420.jpg,แมวที่นอนอยู่ข้างๆคอมพิวเตอร์เล็ปท็อป,a cat laying next to a laptop computer ,แมวนอนอยู่ข้างคอมพิวเตอร์เล็ปทอป,แมวนอนข้างๆ คอมพิวเตอร์,1.995823621749878
000000377588.jpg,นักเล่นเบสบอลที่โยนบอลบนสนาม,a baseball player pitching a ball on top of a field ,,,0.0
000000219485.jpg,หน้าต่างที่เปิดอยู่ข้างหน้าบ้าน,a window that is open in front of a house ,หน้าต่างที่เปิดอยู่ข้างหน้าบ้าน,หน้าต่างที่เปิดอยู่ข้างหน้าบ้าน,1.6763525009155271
000000130465.jpg,อาคารที่มีนาฬิกาอยู่ด้านหน้า,a building with a clock on the front of it ,,,0.0
000000414133.jpg,ป้ายหยุดที่มุมถนน,a stop sign on the corner of a street ,ป้ายหยุดที่มุมถนน,ป้ายหยุดรถที่มุมถนน,1.603156566619873
000000112378.jpg,ก้อนกล้วยนั่งบนเก้าอี้ที่หน้าต้นปาล์ม,bunches of bananas sit on a bench in front of a palm tree ,,,0.0
000000226111.jpg,"ป้ายที่บอกว่า ไม่มีที่จอดรถ"" บนถนน""","a sign that says no parking"" on a street ""","ป้ายที่บอกว่า ""ไม่มีที่จอดรถในถนน""","""ไม่มีที่จอดรถ"" บนถนน",2.168980121612549
000000203488.jpg,เครื่องจอดรถที่นั่งอยู่ข้างต้นไม้,a parking meter sitting next to a tree ,,,0.0
000000434996.jpg,แมวที่นอนบนผ้าห่ม ใกล้กับสัตว์ที่ใส่ผ้าห่ม,a cat sleeping on a blanket next to a bunch of stuffed animals ,แมวนอนบนผ้าห่ม ใกล้กับสัตว์ที่ใส่ผ้าห่ม,แมวนอนหลับอยู่บนผ้าห่มใกล้กับตุ๊กตาตัวต่าง ๆ,2.820062160491944
000000142324.jpg,ชายขับมอเตอร์ไซค์ลงถนนที่มีคนเยอะๆ,a man riding a motorcycle down a busy street ,,,0.0
000000311295.jpg,แกะเจเบร่าที่ยืนอยู่บนสนามที่หญ้าหญ้าหญ้า หญ้าหญ้า,a herd of zebra standing on top of a dry grass covered field ,,,0.0
000000167353.jpg,นาฬิกาที่อยู่บนผนังในห้อง,a clock that is on the wall in a room ,,,0.0
000000564336.jpg,คนที่นั่งที่โต๊ะในร้านอาหาร,a person sitting at a table in a restaurant ,คนที่นั่งอยู่ที่โต๊ะในร้านอาหาร,คนคนหนึ่งนั่งที่โต๊ะในร้านอาหาร,2.0318493843078613
000000457848.jpg,รถจักรยานยนต์อยู่แถวบนถนน,motorcycles are lined up on a street ,,,0.0
000000493566.jpg,รถไฟที่นั่งบนรถไฟ,a train that is sitting on a train track ,รถไฟที่นั่งบนรถไฟ,รถไฟที่นั่งบนรางรถไฟ,1.6019222736358645
000000200667.jpg,หัวสีดําและขาวยืนอยู่ภายในช่องเหล็ก,a black and white cow standing inside of a metal trough ,,,0.0
000000331280.jpg,ม้าขาวที่ยืนอยู่หน้ากลุ่มคน,a white horse standing in front of a crowd of people ,ม้าขาวยืนอยู่หน้ากลุ่มคน,ม้าสีขาวยืนอยู่ต่อหน้าผู้คนกลุ่มหนึ่ง,1.7735860347747803
000000079229.jpg,ชายที่นั่งหลังม้าสีน้ําตาลและสีขาว,a man riding on the back of a brown and white horse ,,,0.0
000000094157.jpg,สาขานาฬิกาที่สูงขึ้นเหนือเมือง,a tall clock tower towering over the city ,สาขานาฬิกาที่สูงขึ้นเหนือเมือง,นาฬิกาขึ้นสูงเหนือเมือง,1.921560764312744
000000191471.jpg,สัญลักษณ์หยุดสีแดงและสีขาวที่นั่งบนเสา,a red and white stop sign sitting on top of a pole ,,,0.0
000000129113.jpg,กระเป๋าไม้ที่นั่งบนพื้นผิวไม้,a wooden spoon sitting on top of a wooden surface ,กระเป๋าไม้นั่งบนพื้นผิวไม้,ช้อนไม้อยู่บนพื้นผิวไม้,1.5732831954956055
000000231339.jpg,สาวน้อยที่ยืนอยู่หน้าตู้เย็น,a young girl standing in front of a refrigerator ,,,0.0
000000254814.jpg,กลุ่มคนจํานวนมากในถนน,a large group of people on a street ,มีคนจำนวนมากอยู่ในถนน,กลุ่มคนใหญ่อยู่บนถนน,1.580625057220459
000000038825.jpg,จีบราสองคนกินหญ้าในไร่,two zebras eating grass in a field ,,,0.0
000000446651.jpg,ชายกับเด็ก ขี่มอเตอร์ไซค์,a man and a child riding on a motorcycle ,ชายกับเด็ก ขี่มอเตอร์ไซค์,ผู้ชายและเด็กคนหนึ่งขี่มอเตอร์ไซค์,2.077432870864868
000000312192.jpg,จานปิซซ่า บนโต๊ะ,a plate of pizza on a table ,,,0.0
000000177015.jpg,ชายที่นั่งบนโซฟา พร้อมกับแมวอยู่บนเข่า,a man sitting on a couch with a cat on his lap ,ชายคนนั้นนั่งบนโซฟา พร้อมกับแมวอยู่บนเข่า,ชายคนหนึ่งนั่งบนโซฟาพร้อมแมวนั่งอยู่บนตักของเขา,2.718126058578491
000000473974.jpg,แกะเจ๊บรา ที่ยืนอยู่บนสนามหญ้า,a herd of zebra standing in a grassy field ,,,0.0
000000134322.jpg,กลุ่มคนจํานวนมาก ที่ยืนอยู่บนพื้นที่ที่หญ้าอยู่ใกล้กับน้ํา,a large group of people standing on a grassy area next to a body of water ,,,0.0
000000081766.jpg,หมานั่งบนเก้าอี้ไม้ติดกับไม้,a dog sitting on a wooden bench next to a bunch of logs ,,,0.0
000000505451.jpg,คนที่นั่งบอร์ดเซอร์ฟบนคลื่น,a person riding a surfboard on top of a wave ,คนที่นั่งบอร์ดเซอร์ฟบนคลื่น,คนขี่บอร์ดบนคลื่น,2.059087038040161
000000570456.jpg,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และหน้าต่างเล็ก,a living room filled with furniture and a small window ,,,0.0
000000512648.jpg,ม้าสีน้ําตาลที่ยืนอยู่ข้างต้นไม้,a brown horse standing next to a tree ,ม้าสีน้ำตาลยืนอยู่ข้างต้นไม้,ม้าสีน้ำตาลยืนอยู่ข้างต้นไม้,1.781790018081665
000000560266.jpg,หมีน้ําตาลสองตัว กําลังเล่นในน้ํา,two brown bears are playing in the water ,,,0.0
000000258883.jpg,คนที่เตรียมอาหารบนโต๊ะ,a person preparing food on a table ,คนที่เตรียมอาหารบนโต๊ะ,คนคนหนึ่งกำลังเตรียมอาหารบนโต๊ะ,1.6766228675842285
000000169356.jpg,นักกีฬาสเกตบอร์ดที่เล่นเทคนิคในอากาศ,a skateboarder doing a trick in the air ,,,0.0
000000559842.jpg,เด็กๆ เล่นฟุตบอลที่สนาม,young children playing soccer on a field ,เด็กๆ เล่นฟุตบอลที่สนาม,เด็กเล็กเล่นฟุตบอลในสนาม,1.7243573665618896
000000461751.jpg,ชายขับรถยนต์อยู่ข้างหลังกับชายอีกคน,a man riding on the back of a motorcycle next to another man ,,,0.0
000000010995.jpg,เตียงในห้องที่มีหน้าต่าง,a bed in a room with a window ,เตียงอยู่ในห้องที่มีหน้าต่าง,เตียงในห้องที่มีหน้าต่าง,1.7231676578521729
000000424162.jpg,ผู้หญิงขับรถจักรยานกับหมาติดเชือก,a woman riding a bike with a dog on a leash ,,,0.0
000000304180.jpg,ผู้หญิงในชุดสีแดงกําลังเล่นเกมโทรศัพท์,a woman in a red dress is playing a game on the phone ,ผู้หญิงในชุดสีแดงกำลังเล่นเกมโทรศัพท์,ผู้หญิงคนหนึ่งสวมชุดสีแดงกำลังเล่นเกมบนโทรศัพท์,2.647954225540161
000000482275.jpg,เจ้าสาวและเจ้าสาวตัดเค้กแต่งงาน,a bride and groom cutting a wedding cake ,,,0.0
000000245026.jpg,ผู้หญิงที่ถือเค้กวันเกิดที่มีเทียนอยู่บนมัน,a woman holding a birthday cake with candles on it ,ผู้หญิงคนนั้นถือเค้กวันเกิดที่มีเทียนอยู่บนมัน,ผู้หญิงคนหนึ่งถือเค้กวันเกิดที่มีเทียน,2.649078130722046
000000204329.jpg,บอร์ดเซอร์ฟ ที่นั่งบนชายหาดทราย,a surfboard sitting on top of a sandy beach ,,,0.0
000000546011.jpg,จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า,two zebras standing next to each other in a grassy area ,สองจีบยืนอยู่ข้างๆกันในพื้นที่หญ้า,สองเสือชีตาร์ยืนอยู่ข้างกันในพื้นหญ้า,2.1941733360290527
000000466125.jpg,เด็กน้อยถือร่มสีชมพู,a little girl is holding a pink umbrella ,,,0.0
000000005193.jpg,กลุ่มใหญ่ของคนที่แต่งตัวใส่เสื้อผ้า,a large group of people dressed up in costumes ,,,0.0
000000034452.jpg,คนที่ยืนอยู่ในป่าพร้อมกับฟริสบี,a person standing in the woods with a frisbee ,,,0.0
000000099039.jpg,โต๊ะที่มีแก้วไวน์และพิซซ่า,a table topped with glasses of wine and a pizza ,โต๊ะที่มีแก้วไวน์และพิซซ่า,โต๊ะที่มีแก้วไวน์และพิซซ่า,1.9501700401306152
000000414638.jpg,ขนมขนมขนมขนม ขนมขนมขนมขนมขนมข,a piece of bread sits on a plate with a fork ,,,0.0
000000021903.jpg,ผู้หญิงคนหนึ่งกําลังรักช้างในกระเป๋าเดินทาง,a woman is petting an elephant's trunk ,ผู้หญิงคนหนึ่งกำลังรักช้างในกระเป๋าเดินทาง,ผู้หญิงคนหนึ่งกำลังสัมผัสปากของช้าง,2.6765670776367188
000000132116.jpg,ถ้วยที่เต็มไปด้วยบร็อกโคลีและเนื้อบนโต๊ะไม้,a bowl filled with broccoli and meat on a wooden table ,,,0.0
000000522751.jpg,โคมไฟและเครื่องหมายถนนบนเสา,a traffic light and a street sign on a pole ,โคมไฟและเครื่องหมายถนนบนเสา,สัญญาณไฟจราจรและป้ายถนนบนเสา,2.0353925228118896
000000351589.jpg,ที่นั่งหน้าอาคารที่มีใบเขียว,a bench in front of a building with green leaves ,,,0.0
000000179653.jpg,นาฬิกาบนเสาหน้าป่า,a clock on a pole in front of a forest ,นาฬิกาบนเสาหน้าป่า,นาฬิกาที่ติดตั้งอยู่บนเสาที่อยู่หน้าป่า,1.8627629280090328
000000060770.jpg,จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า,two zebras standing next to each other in a grassy area ,,,0.0
000000335450.jpg,ม้าสีน้ําตาลยืนอยู่ข้างม้าสีขาวในสนามหญ้า,a brown horse standing next to a white horse in a grassy field ,ม้าสีน้ำตาลยืนอยู่ข้างม้าสีขาวในสนามหญ้า,ม้าสีน้ำตาลกำลังยืนอยู่ข้างม้าสีขาวในทุ่งหญ้า,2.5752973556518555
000000102805.jpg,ผู้ชายที่ถือฟริสบียืนอยู่ข้างทะเลสาบ,a man holding a frisbee standing next to a lake ,,,0.0
000000199551.jpg,เด็กที่นอนบนเตียงพร้อมผ้าห่ม,a child laying on a bed with a blanket ,เด็กที่นอนบนเตียงพร้อมผ้าห่ม,เด็กนอนบนเตียงมีผ้าคลุม,1.6299195289611816
000000484404.jpg,รถบัสหยุดที่สถานีรถบัส,a bus is stopped at a bus stop ,,,0.0
000000005503.jpg,คนหนึ่งกําลังทําความสะอาดถ้วยห้องน้ําด้วยถ้วยมือ,a person is cleaning a toilet bowl with a handrail ,คนหนึ่งกำลังทำความสะอาดถ้วยห้องน้ำด้วยถ้วยมือ,คนคนหนึ่งกำลังทำความสะอาดโถสุขภัณฑ์ด้วยไม้กวาด,3.068086862564087
000000275727.jpg,รถไฟสีเหลืองและสีฟ้า เดินทางตามเส้นทาง,a yellow and blue train traveling down tracks ,,,0.0
000000049091.jpg,ถนนในเมืองที่มีเครื่องหมายมากมาย,a city street with many signs on it ,ถนนในเมืองที่มีเครื่องหมายมากมาย,ถนนในเมืองที่มีป้ายหลายป้าย,2.0225746631622314
000000009772.jpg,ห้องน้ําที่มีถ้วยน้ํากระจก และถ้วยน้ํา,"a bathroom with a sink, mirror, and bath tub ",,,0.0
000000520077.jpg,หนังสือที่วางบนโต๊ะ,a pile of books on top of a table ,หนังสือวางอยู่บนโต๊ะ,หนังสือจำนวนมากวางอยู่บนโต๊ะ,1.5557005405426023
000000451090.jpg,เรือขนาดเล็กบนน้ํา,a small boat on a body of water ,,,0.0
000000039551.jpg,นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม,a female tennis player in action on the court ,นักเตะเทนนิสหญิงกำลังเล่นในสนาม,นักเทนนิสหญิงกำลังเล่นเกมบนสนาม,2.0016732215881348
000000513283.jpg,ชิ้นปิซซ่าที่นั่งบนจานขาวบนโต๊ะ,a piece of pizza sitting on top of a white plate on a table ,,,0.0
000000250758.jpg,เซเบร่าที่ยืนอยู่บนสนามเขียวเขียว,a zebra standing on a lush green field ,เซเบร่าที่ยืนอยู่บนสนามเขียวเขียว,ม้าลายยืนอยู่บนสนามหญ้าสีเขียวสดใส,2.044150829315185
000000361919.jpg,นักสกีและนักสโนว์บอร์ดบนภูเขาที่มีหิมะ,skiers and snowboarders on a snowy mountain ,,,0.0
000000323709.jpg,เครื่องบินขนาดใหญ่ ที่นั่งบนสนามที่ครอบคลุมกับหญ้า,a large jetliner sitting on top of a grass covered field ,เครื่องบินขนาดใหญ่ ที่นั่งบนสนามที่ครอบคลุมด้วยหญ้า,เครื่องบินเจ็ทไลน์ขนาดใหญ่นั่งอยู่บนผืนหญ้าปกคลุม,2.989563226699829
000000312406.jpg,บานาน กาแฟ และกระเป๋ามะเขือเทศนั่งบนโต๊ะ,"a banana, a cup of coffee, and a bag of nuts sit on a counter ",,,0.0
000000076547.jpg,ชายที่นั่งบนเก้าอี้ข้างรถไฟ,a man sitting on a bench next to a train ,ชายคนนั้นนั่งอยู่บนรถไฟ,ชายคนหนึ่งนั่งบนม้านั่งใกล้รถไฟ,2.1316633224487305
000000244833.jpg,รถมอเตอร์ไซค์อยู่แถวแถวในห้อง,motorcycles are lined up in a row in a room ,,,0.0
000000356347.jpg,หม้อที่เต็มไปด้วยเหลวมากมายบนเตา,a pot filled with lots of liquid on top of a stove ,,,0.0
000000398652.jpg,โต๊ะที่เต็มไปด้วยดอกไม้,a table topped with a vase filled with flowers ,,,0.0
000000033854.jpg,รถจักรยานที่จอดอยู่ข้างๆกัน,motorcycles parked next to each other ,รถจักรยานที่จอดอยู่ข้างๆกัน,รถมอเตอร์ไซค์จอดอยู่ใกล้กัน,1.7017180919647217
000000090155.jpg,รถไฟที่เดินทางตามเส้นทางรถไฟใกล้ป่า,a train traveling down train tracks near a forest ,,,0.0
000000134722.jpg,รถไฟบนเส้นทาง ใกล้กับเว็บไซต์,a train on a track near a platform ,รถไฟอยู่บนเส้นทาง ใกล้กับเว็บไซต์,รถไฟอยู่บนเส้นทางใกล้ประตูทางเข้า,2.142366409301758
000000039951.jpg,ชายบนสนามด้วยร็อคเทนนิส,a man on a court with a tennis racket ,,,0.0
000000262440.jpg,"ห้องน้ําที่มีถ้วยน้ํา, ห้องน้ํา, ห้องน้ําและหน้าต่าง ","a bathroom with a sink, tub, toilet and window ","ห้องน้ําที่มีถ้วยน้ํา, ห้องน้ํา, ห้องน้ําและหน้าต่าง",ห้องน้ำที่มีอ่างอาบน้ำ อ่างอาบน้ำ โถสุขภัณฑ์ และหน้าต่าง,3.143203020095825
000000527960.jpg,เก้าอี้ในสวนที่นั่งกลางพื้นที่ป่าไม้,a park bench sitting in the middle of a wooded area ,,,0.0
000000414676.jpg,อาคารอิฐสูงที่มีหอนาฬิกา,a tall brick building with a clock tower ,อาคารอิฐสูงที่มีหอนาฬิกา,อาคารอิฐสูงตระหง่านมีหอระฆัง,2.2442805767059326
