000000419653.jpg,"ห้องครัวที่เต็มไปด้วยขยะและขยะ","a kitchen filled with lots of clutter and clutter "
000000136600.jpg,"คอมพิวเตอร์คอมพิวเตอร์ที่เปิดอยู่บนโต๊ะไม้","an open laptop computer sitting on top of a wooden desk "
000000367569.jpg,"ห้องนั่งเล่นที่มีเผาไหม้และโซฟา","a living room with a fireplace and a couch "
000000165336.jpg,"จิราฟ 2 ตัว และ เซเบร่า 1 ตัว ที่ยืนอยู่บนสนามหญ้า","two giraffes and a zebra standing in a grassy field "
000000526751.jpg,"เรือเล็ก ๆ น้อย ๆ ที่จอดอยู่บนชายหาด","a small boat is docked on the shore "
000000125062.jpg,"สัตว์ที่ซับอยู่บนชั้นหนังสือ","stuffed animals sitting on top of a book shelf "
000000369310.jpg,"สาวน้อยบนกระปุกในห้อง","a little girl on a skateboard in a room "
000000283520.jpg,"ผู้ชายและหญิงที่เล่นเกมฟริสบี ในพื้นที่ที่ป่าไม้","a man and woman playing a game of frisbee in a wooded area "
000000092839.jpg,"หมีขั้วโลกที่นั่งบนหินในสวนสัตว์","a polar bear sitting on top of a rock in a zoo enclosure "
000000572408.jpg,"หัวสีน้ําตาลใหญ่ยืนอยู่บนสนามหญ้าที่แห้ง","a large brown cow standing on top of a dry grass field "
000000455597.jpg,"ผู้หญิงที่ยืนอยู่ในครัว เตรียมอาหาร","a woman standing in a kitchen preparing food "
000000370478.jpg,"โต๊ะทํางานที่มีกระเป๋าเดินทาง และคอมพิวเตอร์เล็ตพอตอยู่บนนั้น","a desk with a suitcase and a laptop on top of it "
000000509258.jpg,"สัญลักษณ์ถนนหน้าอาคารขนาดใหญ่","a street sign in front of a large building "
000000224093.jpg,"แกะวัวที่แกะวัวที่แกะวัวที่ไร่","a herd of cattle grazing in a field "
000000573094.jpg,"ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และต้นคริสต์มาส","a living room filled with furniture and a christmas tree "
000000517069.jpg,"ผู้หญิงคนหนึ่งนั่งบนเก้าอี้ในเมือง","a woman sitting on a bench in a city "
000000022396.jpg,"เครื่องบินบินบินอยู่บนท้องฟ้า","an airplane is flying in the sky "
000000329542.jpg,"ขนมเค้กกับกระเทียมและกระเทียมบนคาน","a cupcake with frosting and sprinkles on a counter "
000000135872.jpg,"โต๊ะทํางานที่มีจอคอมพิวเตอร์ คีย์บอร์ดและหนู","a desk with a computer monitor, keyboard and mouse "
000000372819.jpg,"สุนัขไล่ล่ากลุ่มสุนัขด้วยสาย","a dog chasing a group of dogs on a leash "
000000306733.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา, สระน้ํา, กระจกและผ้าม่านน้ํา","a bathroom with a tub, sink, mirror and shower curtain "
000000249025.jpg,"ถ้วยแก้วที่เต็มไปด้วยดอกไม้สีชมพูบนโต๊ะ","a glass vase filled with pink flowers on a table "
000000367818.jpg,"ผู้หญิงที่ยืนอยู่ข้างม้าสีน้ําตาล ในสนามหญ้า","a woman standing next to a brown horse in a grassy field "
000000248631.jpg,"คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะ","a laptop computer sitting on top of a desk "
000000078420.jpg,"แมวที่นอนอยู่ข้างๆคอมพิวเตอร์เล็ปท็อป","a cat laying next to a laptop computer "
000000377588.jpg,"นักเล่นเบสบอลที่โยนบอลบนสนาม","a baseball player pitching a ball on top of a field "
000000219485.jpg,"หน้าต่างที่เปิดอยู่ข้างหน้าบ้าน","a window that is open in front of a house "
000000130465.jpg,"อาคารที่มีนาฬิกาอยู่ด้านหน้า","a building with a clock on the front of it "
000000414133.jpg,"ป้ายหยุดที่มุมถนน","a stop sign on the corner of a street "
000000112378.jpg,"ก้อนกล้วยนั่งบนเก้าอี้ที่หน้าต้นปาล์ม","bunches of bananas sit on a bench in front of a palm tree "
000000226111.jpg,"ป้ายที่บอกว่า "ไม่มีที่จอดรถ" บนถนน","a sign that says "no parking" on a street "
000000203488.jpg,"เครื่องจอดรถที่นั่งอยู่ข้างต้นไม้","a parking meter sitting next to a tree "
000000434996.jpg,"แมวที่นอนบนผ้าห่ม ใกล้กับสัตว์ที่ใส่ผ้าห่ม","a cat sleeping on a blanket next to a bunch of stuffed animals "
000000142324.jpg,"ชายขับมอเตอร์ไซค์ลงถนนที่มีคนเยอะๆ","a man riding a motorcycle down a busy street "
000000311295.jpg,"แกะเจเบร่าที่ยืนอยู่บนสนามที่หญ้าหญ้าหญ้า หญ้าหญ้า","a herd of zebra standing on top of a dry grass covered field "
000000167353.jpg,"นาฬิกาที่อยู่บนผนังในห้อง","a clock that is on the wall in a room "
000000564336.jpg,"คนที่นั่งที่โต๊ะในร้านอาหาร","a person sitting at a table in a restaurant "
000000457848.jpg,"รถจักรยานยนต์อยู่แถวบนถนน","motorcycles are lined up on a street "
000000493566.jpg,"รถไฟที่นั่งบนรถไฟ","a train that is sitting on a train track "
000000200667.jpg,"หัวสีดําและขาวยืนอยู่ภายในช่องเหล็ก","a black and white cow standing inside of a metal trough "
000000331280.jpg,"ม้าขาวที่ยืนอยู่หน้ากลุ่มคน","a white horse standing in front of a crowd of people "
000000079229.jpg,"ชายที่นั่งหลังม้าสีน้ําตาลและสีขาว","a man riding on the back of a brown and white horse "
000000094157.jpg,"สาขานาฬิกาที่สูงขึ้นเหนือเมือง","a tall clock tower towering over the city "
000000191471.jpg,"สัญลักษณ์หยุดสีแดงและสีขาวที่นั่งบนเสา","a red and white stop sign sitting on top of a pole "
000000129113.jpg,"กระเป๋าไม้ที่นั่งบนพื้นผิวไม้","a wooden spoon sitting on top of a wooden surface "
000000231339.jpg,"สาวน้อยที่ยืนอยู่หน้าตู้เย็น","a young girl standing in front of a refrigerator "
000000254814.jpg,"กลุ่มคนจํานวนมากในถนน","a large group of people on a street "
000000038825.jpg,"จีบราสองคนกินหญ้าในไร่","two zebras eating grass in a field "
000000446651.jpg,"ชายกับเด็ก ขี่มอเตอร์ไซค์","a man and a child riding on a motorcycle "
000000312192.jpg,"จานปิซซ่า บนโต๊ะ","a plate of pizza on a table "
000000177015.jpg,"ชายที่นั่งบนโซฟา พร้อมกับแมวอยู่บนเข่า","a man sitting on a couch with a cat on his lap "
000000473974.jpg,"แกะเจ๊บรา ที่ยืนอยู่บนสนามหญ้า","a herd of zebra standing in a grassy field "
000000134322.jpg,"กลุ่มคนจํานวนมาก ที่ยืนอยู่บนพื้นที่ที่หญ้าอยู่ใกล้กับน้ํา","a large group of people standing on a grassy area next to a body of water "
000000081766.jpg,"หมานั่งบนเก้าอี้ไม้ติดกับไม้","a dog sitting on a wooden bench next to a bunch of logs "
000000505451.jpg,"คนที่นั่งบอร์ดเซอร์ฟบนคลื่น","a person riding a surfboard on top of a wave "
000000570456.jpg,"ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และหน้าต่างเล็ก","a living room filled with furniture and a small window "
000000512648.jpg,"ม้าสีน้ําตาลที่ยืนอยู่ข้างต้นไม้","a brown horse standing next to a tree "
000000560266.jpg,"หมีน้ําตาลสองตัว กําลังเล่นในน้ํา","two brown bears are playing in the water "
000000258883.jpg,"คนที่เตรียมอาหารบนโต๊ะ","a person preparing food on a table "
000000169356.jpg,"นักกีฬาสเกตบอร์ดที่เล่นเทคนิคในอากาศ","a skateboarder doing a trick in the air "
000000559842.jpg,"เด็กๆ เล่นฟุตบอลที่สนาม","young children playing soccer on a field "
000000461751.jpg,"ชายขับรถยนต์อยู่ข้างหลังกับชายอีกคน","a man riding on the back of a motorcycle next to another man "
000000010995.jpg,"เตียงในห้องที่มีหน้าต่าง","a bed in a room with a window "
000000424162.jpg,"ผู้หญิงขับรถจักรยานกับหมาติดเชือก","a woman riding a bike with a dog on a leash "
000000304180.jpg,"ผู้หญิงในชุดสีแดงกําลังเล่นเกมโทรศัพท์","a woman in a red dress is playing a game on the phone "
000000482275.jpg,"เจ้าสาวและเจ้าสาวตัดเค้กแต่งงาน","a bride and groom cutting a wedding cake "
000000245026.jpg,"ผู้หญิงที่ถือเค้กวันเกิดที่มีเทียนอยู่บนมัน","a woman holding a birthday cake with candles on it "
000000204329.jpg,"บอร์ดเซอร์ฟ ที่นั่งบนชายหาดทราย","a surfboard sitting on top of a sandy beach "
000000546011.jpg,"จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า","two zebras standing next to each other in a grassy area "
000000466125.jpg,"เด็กน้อยถือร่มสีชมพู","a little girl is holding a pink umbrella "
000000005193.jpg,"กลุ่มใหญ่ของคนที่แต่งตัวใส่เสื้อผ้า","a large group of people dressed up in costumes "
000000034452.jpg,"คนที่ยืนอยู่ในป่าพร้อมกับฟริสบี","a person standing in the woods with a frisbee "
000000099039.jpg,"โต๊ะที่มีแก้วไวน์และพิซซ่า","a table topped with glasses of wine and a pizza "
000000414638.jpg,"ขนมขนมขนมขนม ขนมขนมขนมขนมขนมข","a piece of bread sits on a plate with a fork "
000000021903.jpg,"ผู้หญิงคนหนึ่งกําลังรักช้างในกระเป๋าเดินทาง","a woman is petting an elephant's trunk "
000000132116.jpg,"ถ้วยที่เต็มไปด้วยบร็อกโคลีและเนื้อบนโต๊ะไม้","a bowl filled with broccoli and meat on a wooden table "
000000522751.jpg,"โคมไฟและเครื่องหมายถนนบนเสา","a traffic light and a street sign on a pole "
000000351589.jpg,"ที่นั่งหน้าอาคารที่มีใบเขียว","a bench in front of a building with green leaves "
000000179653.jpg,"นาฬิกาบนเสาหน้าป่า","a clock on a pole in front of a forest "
000000060770.jpg,"จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า","two zebras standing next to each other in a grassy area "
000000335450.jpg,"ม้าสีน้ําตาลยืนอยู่ข้างม้าสีขาวในสนามหญ้า","a brown horse standing next to a white horse in a grassy field "
000000102805.jpg,"ผู้ชายที่ถือฟริสบียืนอยู่ข้างทะเลสาบ","a man holding a frisbee standing next to a lake "
000000199551.jpg,"เด็กที่นอนบนเตียงพร้อมผ้าห่ม","a child laying on a bed with a blanket "
000000484404.jpg,"รถบัสหยุดที่สถานีรถบัส","a bus is stopped at a bus stop "
000000005503.jpg,"คนหนึ่งกําลังทําความสะอาดถ้วยห้องน้ําด้วยถ้วยมือ","a person is cleaning a toilet bowl with a handrail "
000000275727.jpg,"รถไฟสีเหลืองและสีฟ้า เดินทางตามเส้นทาง","a yellow and blue train traveling down tracks "
000000049091.jpg,"ถนนในเมืองที่มีเครื่องหมายมากมาย","a city street with many signs on it "
000000009772.jpg,"ห้องน้ําที่มีถ้วยน้ํากระจก และถ้วยน้ํา","a bathroom with a sink, mirror, and bath tub "
000000520077.jpg,"หนังสือที่วางบนโต๊ะ","a pile of books on top of a table "
000000451090.jpg,"เรือขนาดเล็กบนน้ํา","a small boat on a body of water "
000000039551.jpg,"นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม","a female tennis player in action on the court "
000000513283.jpg,"ชิ้นปิซซ่าที่นั่งบนจานขาวบนโต๊ะ","a piece of pizza sitting on top of a white plate on a table "
000000250758.jpg,"เซเบร่าที่ยืนอยู่บนสนามเขียวเขียว","a zebra standing on a lush green field "
000000361919.jpg,"นักสกีและนักสโนว์บอร์ดบนภูเขาที่มีหิมะ","skiers and snowboarders on a snowy mountain "
000000323709.jpg,"เครื่องบินขนาดใหญ่ ที่นั่งบนสนามที่ครอบคลุมกับหญ้า","a large jetliner sitting on top of a grass covered field "
000000312406.jpg,"บานาน กาแฟ และกระเป๋ามะเขือเทศนั่งบนโต๊ะ","a banana, a cup of coffee, and a bag of nuts sit on a counter "
000000076547.jpg,"ชายที่นั่งบนเก้าอี้ข้างรถไฟ","a man sitting on a bench next to a train "
000000244833.jpg,"รถมอเตอร์ไซค์อยู่แถวแถวในห้อง","motorcycles are lined up in a row in a room "
000000356347.jpg,"หม้อที่เต็มไปด้วยเหลวมากมายบนเตา","a pot filled with lots of liquid on top of a stove "
000000398652.jpg,"โต๊ะที่เต็มไปด้วยดอกไม้","a table topped with a vase filled with flowers "
000000033854.jpg,"รถจักรยานที่จอดอยู่ข้างๆกัน","motorcycles parked next to each other "
000000090155.jpg,"รถไฟที่เดินทางตามเส้นทางรถไฟใกล้ป่า","a train traveling down train tracks near a forest "
000000134722.jpg,"รถไฟบนเส้นทาง ใกล้กับเว็บไซต์","a train on a track near a platform "
000000039951.jpg,"ชายบนสนามด้วยร็อคเทนนิส","a man on a court with a tennis racket "
000000262440.jpg,"ห้องน้ําที่มีถ้วยน้ํา, ห้องน้ํา, ห้องน้ําและหน้าต่าง ","a bathroom with a sink, tub, toilet and window "
000000527960.jpg,"เก้าอี้ในสวนที่นั่งกลางพื้นที่ป่าไม้","a park bench sitting in the middle of a wooded area "
000000414676.jpg,"อาคารอิฐสูงที่มีหอนาฬิกา","a tall brick building with a clock tower "
000000182923.jpg,"นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม","a female tennis player in action on the court "
000000043581.jpg,"พิซซ่าบนจานบนโต๊ะ","a pizza on a plate on a table "
000000514914.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา, ห้องน้ําและถ้วยน้ํา","a bathroom with a sink, toilet and bathtub "
000000284279.jpg,"นกเล็ก ๆ น้อย ๆ ที่นั่งอยู่บนเครื่องเลี้ยงนก","a small bird perched on a bird feeder "
000000516318.jpg,"ชายขับคลื่นบนแผ่นเซิร์ฟ","a man riding a wave on a surfboard "
000000069138.jpg,"โคมไฟบนถนนเมือง","a traffic light on a city street "
000000070739.jpg,"ผู้หญิงสองคนนั่งอยู่บนโต๊ะพร้อมกับแก้วไวน์","two women sitting at a table with a glass of wine "
000000155443.jpg,"รถไฟหยุดอยู่ที่สถานีรถไฟ","a train is stopped at a train station "
000000363188.jpg,"คนกลุ่มใหญ่เดินตามถนนพร้อมโทรศัพท์มือถือ","a large group of people walking down a street with a cell phone in their hands "
000000078959.jpg,"ไม้กล้วยไม้ที่มีกล้วยไม้แขวนอยู่บนสาขาของมัน","a banana tree with a bunch of bananas hanging from it's branches "
000000408112.jpg,"เครื่องบินเลื่อนขนาดเล็ก ที่นั่งบนทางสนามบิน","a small propeller plane sitting on top of an airport tarmac "
000000404805.jpg,"ผู้หญิงคนหนึ่งนั่งบนโต๊ะเซอร์ฟ์ในน้ํา","a woman is sitting on a surfboard in the water "
000000349594.jpg,"เด็กชายหนุ่มที่ถือดอนเน็ตในมือ","a young boy holding a doughnut in his hand "
000000527427.jpg,"ผู้หญิงที่นั่งบนเก้าอี้หน้าโทรศัพท์มือถือ","a woman sitting on a bench in front of a cell phone "
000000279278.jpg,"ผู้หญิงยืนอยู่บนถนนที่มีหมาและกระดาน skateboard","a woman standing on a sidewalk with a dog and a skateboard "
000000465822.jpg,"ผู้ชายที่ยืนอยู่หน้าคอมพิวเตอร์หน้ากลุ่มคน","a man standing in front of a laptop in front of a group of people "
000000156292.jpg,"ผนังที่มีหลายประเภทของนาฬิกาที่มัน","a wall with many different types of clocks on it "
000000168593.jpg,"ห้องครัวที่มีตู้เย็น หม้อเตา และหน้าต่าง","a kitchen with a refrigerator, stove and a window "
000000015440.jpg,"ป้ายหยุดที่มุมถนน","a stop sign on the corner of a street "
000000226883.jpg,"สองวัวในพื้นที่ติดรั้วที่อยู่ข้างๆอาคาร","two cows in a fenced in area next to a building "
000000177539.jpg,"ผู้หญิงที่ถือแผ่นเซอร์ฟ์บนชายหาด","a woman holding a surfboard on the beach "
000000274272.jpg,"รถบัสขับถนนข้างหน้าโคมไฟ","a bus driving down a street next to a traffic light "
000000320696.jpg,"ชายขับคลื่นบนแผ่นเซิร์ฟ","a man riding a wave on a surfboard "
000000434479.jpg,"พิซซ่า 2 ชิ้นบนจาน","two slices of pizza on a plate "
000000065288.jpg,"กลุ่มใหญ่ของผู้คนนั่งบนเก้าอี้","a large group of people sitting on a bench "
000000464476.jpg,"คนที่ยืนอยู่ข้างหน้าคอมพิวเตอร์เล็ปท็อป","a person standing in front of a laptop computer "
000000374545.jpg,"สถานที่ในถนนที่มีต้นไม้และเครื่องหมายถนน","a street scene with trees and street signs "
000000402118.jpg,"นักเล่นสโนว์บอร์ดที่เล่นเทคนิคในอากาศ","a snowboarder doing a trick in the air "
000000252216.jpg,"สองม้าสีขาวยืนอยู่ข้างๆกันในสนาม","two white horses standing next to each other in a field "
000000153632.jpg,"ผักผักและเนื้อ ผักผักผักผักผักผักผักผักผักผ","a white plate topped with meat and vegetables "
000000572388.jpg,"แมวสีดําและสีขาวนั่งอยู่ข้างๆหมีหมี","a black and white cat sitting next to a stuffed bear "
000000356094.jpg,"นักพนันเบสบอลที่โยนไม้ตีในสนามกีฬา","a baseball player swinging a bat on a field "
000000338905.jpg,"กลุ่มใหญ่ของผู้คนนั่งกินที่โต๊ะ","a large group of people sitting at a table eating "
000000245576.jpg,"แมวที่นั่งบนคีย์บอร์ดคอมพิวเตอร์","a cat sitting on top of a computer keyboard "
000000032735.jpg,"นักเล่นสกีในอากาศบนชัน","a skier in the air on a slope "
000000548780.jpg,"คนที่นั่งบนเก้าอี้","people sitting on a bench "
000000014831.jpg,"แมวที่นอนอยู่บนหมอน","a cat that is laying down on a pillow "
000000017714.jpg,"จานอาหารและแก้วกาแฟบนโต๊ะ","a plate of food and a cup of coffee on a table "
000000199442.jpg,"ชายขับคลื่นบนโต๊ะเซอร์ฟ์ในมหาสมุทร","a man riding a wave on top of a surfboard in the ocean "
000000020571.jpg,"เรือเล็ก ๆ น้อย ๆ ที่จอดอยู่ในท่าเรือ","a number of small boats docked in a harbor "
000000441543.jpg,"ประชากรที่มีร่มร่ม","a crowd of people with umbrellas "
000000216296.jpg,"ชายที่ถือกระสุนเทนนิสอยู่บนเก้าอี้","a man holding a tennis racquet on top of a court "
000000231527.jpg,"แก้วน้ําตาลส้ม ที่นั่งบนโต๊ะข้างๆจานส้ม","a glass of orange juice sitting on a table next to a plate of oranges "
000000069356.jpg,"ชายยืนอยู่ข้างหน้าผู้หญิงหน้าร้านผลไม้","a man standing next to a woman in front of a fruit stand "
000000423617.jpg,"รถบัสสองชั้น ขับรถลงถนนข้างหลังอาคารสูง","a double decker bus driving down a street next to tall buildings "
000000277020.jpg,"ผู้ชายที่ยืนอยู่ข้างๆ ผู้ชายคนอื่นในบาร์","a man standing next to another man in a bar "
000000066135.jpg,"รถไฟสีเหลืองและสีเหลือง บนเส้นทาง","a yellow and yellow train on a track "
000000442009.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา สระน้ํา และหน้าต่าง","a bathroom with a tub, sink and a window "
000000125129.jpg,"ผู้หญิงที่นั่งอยู่บนโต๊ะหน้าผ้าโต๊ะสีขาว","a woman sitting at a table in front of a white table cloth "
000000321214.jpg,"เด็กชายเล็ก ๆ ที่กินเค้ก","a little boy eating a piece of cake "
000000349860.jpg,"นักกีฬาสเกตบอร์ดที่เล่นเทคนิคในอากาศ","a skateboarder doing a trick in the air "
000000285894.jpg,"จิราฟ่าที่ยืนอยู่ข้างหน้าผู้หญิง","a giraffe standing next to a woman in front of a group of people "
000000125257.jpg,"คนขับรถสกีบนเนินที่หิมะปกคลุม","a person riding skis on a snow covered slope "
000000221872.jpg,"กล่องอาหารกลางวัน ที่เต็มไปด้วย ผัก ข้าว และ เนื้อ","a lunch box filled with vegetables, rice, and meat "
000000029984.jpg,"คนที่อยู่บนชายหาด ที่มีร่มอยู่บนน้ํา","people on the beach with umbrellas on the water "
000000530061.jpg,"เด็กหญิงน้อยกินกระเป๋าข้าวกับกระเป๋า","a little girl eating a bowl of cereal with a spoon "
000000479953.jpg,"นักฟุตบอลที่เตะลูกฟุตบอลในสนาม","a soccer player kicking a soccer ball on the field "
000000320743.jpg,"กลุ่มคนที่นั่งบนหลังช้าง","a large group of people riding on the backs of elephants "
000000027186.jpg,"สาวน้อยที่ถือเครื่องควบคุมเกม Nintendo Wii","a little girl holding a nintendo wii game controller "
000000127517.jpg,"เป็นแถวของโต๊ะเซอร์ฟ์ ที่นั่งบนหาดทราย","a row of surfboards sitting on top of a sandy beach "
000000029596.jpg,"ห้องนั่งเล่น พร้อมโซฟา โต๊ะ และไฟ","a living room with a couch a table and a lamp "
000000007991.jpg,"จานอาหารที่มีครอตและบร็อกโกลี","a plate of food that includes carrots and broccoli "
000000162415.jpg,"สาวน้อยที่ถือถุงมือเบสบอล","a young girl holding a baseball glove "
000000466256.jpg,"จานอาหารบนโต๊ะด้วยคานและมีด","a plate of food on a table with a fork and knife "
000000322211.jpg,"กระเป๋าที่เต็มไปด้วยดอนด์ถูกตัดเป็นชิ้น","a tray filled with sliced up donuts "
000000127476.jpg,"พิซซ่าที่นั่งบนกระทะโลหะ","a pizza sitting on top of a metal pan "
000000173371.jpg,"โต๊ะที่มีแผ่นปิซซ่าและถ้วยซัลลาต","a table topped with plates of pizza and bowls of salad "
000000528314.jpg,"ชายขับรถสกีลงทางคลองที่ครอบคลุมด้วยหิมะ","a man riding skis down the side of a snow covered slope "
000000050943.jpg,"คนที่นั่งบอร์ดเซอร์ฟบนคลื่น","a person riding a surfboard on top of a wave "
000000294162.jpg,"คอมพิวเตอร์เล็ปท็อปสีขาว ที่นั่งบนโต๊ะสีขาว","a white laptop computer sitting on top of a white table "
000000221155.jpg,"สุนัขสองคนยืนอยู่หน้าโรงเลี้ยง","two dogs are standing in front of a barn "
000000078426.jpg,"แมวที่นั่งอยู่บนโต๊ะข้างๆหนังสือ","a cat sitting on top of a desk next to a book "
000000014226.jpg,"ชายที่นั่งบนรถไฟ ดูแลคอมพิวเตอร์ของเขา","a man sitting on a train looking at his laptop "
000000025593.jpg,"สัญลักษณ์ถนนบนเสาหน้าฟ้าสีฟ้า","a street sign on a pole in front of a blue sky "
000000140270.jpg,"คนขี่ม้าบนเส้นทาง","a person riding a horse on a track "
000000004495.jpg,"ห้องนั่งเล่นพร้อมโซฟา เก้าอี้และโทรทัศน์","a living room with a couch, chair and television "
000000081738.jpg,"คนที่ตัดเค้กวันเกิดด้วยมีด","a person cutting a birthday cake with a knife "
000000148739.jpg,"คนบนโต๊ะเซอร์ฟ์ในน้ํา ","a person on a surfboard in the water "
000000250901.jpg,"คนที่ถือแซนวิชไว้ในมือบนสนามที่ครอบคลุมกับหญ้า","a person holding a sandwich in their hands on top of a grass covered field "
000000340015.jpg,"พิซซ่ากับเปเปเปโรนี ทอดมี่ และชีส","a pizza with pepperoni, tomatoes, and cheese "
000000162092.jpg,"ผู้หญิงที่ยืนอยู่หน้าโต๊ะที่เต็มไปด้วยอาหารหวาน","a woman standing in front of a table filled with desserts "
000000519764.jpg,"แมวที่นั่งอยู่บนเก้าอี้","a cat sitting on top of a chair "
000000054654.jpg,"เด็กผู้หญิงหนุ่มยืนในครัว เตรียมอาหาร","a young girl standing in a kitchen preparing food "
000000571718.jpg,"ผู้ชายคนหนึ่งขายกล้วยในร้านผลไม้","a man selling bananas at a fruit stand "
