0,1,2,grammared,tled,time
000000537153.jpg,คนที่นั่งบนเก้าอี้ที่มองหามหาสมุทร,a person sitting on a bench overlooking the ocean ,คนที่นั่งบนเก้าอี้ที่มองหามหาสมุทร,คนคนหนึ่งนั่งบนม้านั่งที่มองเห็นมหาสมุทร,2.164541721343994
000000054593.jpg,เด็กชายในชุดเบสบอลที่โยนไม้ตีกับลูกบอล,a boy in a baseball uniform swinging a bat at a ball ,,,0.0
000000542127.jpg,คนที่กระโดดบนแผ่นสโนว์บอร์ดในอากาศ,a person jumping a snowboard in the air ,คนที่กระโดดบนแผ่นสโนว์บอร์ดในอากาศ,บุคคลกระโดดสโนว์บอร์ดขึ้นสู่อากาศ,2.0962469577789307
000000283038.jpg,สัญลักษณ์ stop ที่มีแกฟฟิตี้อยู่บนมัน,a stop sign with graffiti on it ,,,0.0
000000183104.jpg,จิราฟสองตัวยืนอยู่ข้างๆกัน ใกล้หน้าต่าง,two giraffes standing next to each other near a window ,จิราฟสองตัวยืนอยู่ข้างๆกัน ใกล้หน้าต่าง,สองยีราฟยืนอยู่ข้างกันใกล้หน้าต่าง,2.312863111495972
000000419653.jpg,ห้องครัวที่เต็มไปด้วยขยะและขยะ,a kitchen filled with lots of clutter and clutter ,,,0.0
000000136600.jpg,คอมพิวเตอร์คอมพิวเตอร์ที่เปิดอยู่บนโต๊ะไม้,an open laptop computer sitting on top of a wooden desk ,คอมพิวเตอร์ที่เปิดอยู่บนโต๊ะไม้,คอมพิวเตอร์แล็ปท็อปเปิดอยู่บนโต๊ะไม้,2.028651475906372
000000367569.jpg,ห้องนั่งเล่นที่มีเผาไหม้และโซฟา,a living room with a fireplace and a couch ,,,0.0
000000165336.jpg,จิราฟ 2 ตัว และ เซเบร่า 1 ตัว ที่ยืนอยู่บนสนามหญ้า,two giraffes and a zebra standing in a grassy field ,จิราฟสองตัวและเซเบร่าหนึ่งตัวยืนอยู่บนสนามหญ้า,สองยีราฟและเซบรายืนอยู่ในทุ่งหญ้า,2.535738468170166
000000526751.jpg,เรือเล็ก ๆ น้อย ๆ ที่จอดอยู่บนชายหาด,a small boat is docked on the shore ,,,0.0
000000125062.jpg,สัตว์ที่ซับอยู่บนชั้นหนังสือ,stuffed animals sitting on top of a book shelf ,สัตว์ที่อาศัยอยู่บนชั้นหนังสือ,สิ่งของที่นั่งอยู่บนชั้นวางหนังสือ,1.870239019393921
000000369310.jpg,สาวน้อยบนกระปุกในห้อง,a little girl on a skateboard in a room ,,,0.0
000000283520.jpg,ผู้ชายและหญิงที่เล่นเกมฟริสบี ในพื้นที่ที่ป่าไม้,a man and woman playing a game of frisbee in a wooded area ,ผู้ชายและหญิงที่เล่นเกมฟริสบีในพื้นที่ที่ป่าไม้,ผู้ชายและผู้หญิงเล่นเกมของฟริสเบียนในพื้นที่ป่า,3.2731130123138428
000000092839.jpg,หมีขั้วโลกที่นั่งบนหินในสวนสัตว์,a polar bear sitting on top of a rock in a zoo enclosure ,,,0.0
000000572408.jpg,หัวสีน้ําตาลใหญ่ยืนอยู่บนสนามหญ้าที่แห้ง,a large brown cow standing on top of a dry grass field ,หัวสีน้ำตาลใหญ่ยืนอยู่บนสนามหญ้าที่แห้ง,วัวสีน้ำตาลตัวใหญ่ยืนอยู่บนหญ้าแห้ง,2.2887487411499023
000000455597.jpg,ผู้หญิงที่ยืนอยู่ในครัว เตรียมอาหาร,a woman standing in a kitchen preparing food ,,,0.0
000000370478.jpg,โต๊ะทํางานที่มีกระเป๋าเดินทาง และคอมพิวเตอร์เล็ตพอตอยู่บนนั้น,a desk with a suitcase and a laptop on top of it ,,,0.0
000000509258.jpg,สัญลักษณ์ถนนหน้าอาคารขนาดใหญ่,a street sign in front of a large building ,,,0.0
000000224093.jpg,แกะวัวที่แกะวัวที่แกะวัวที่ไร่,a herd of cattle grazing in a field ,แกะวัววิ่งไปที่ไร่,ฝูงวัวกำลังกินหญ้าในทุ่ง,1.5639784336090088
000000573094.jpg,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และต้นคริสต์มาส,a living room filled with furniture and a christmas tree ,,,0.0
000000517069.jpg,ผู้หญิงคนหนึ่งนั่งบนเก้าอี้ในเมือง,a woman sitting on a bench in a city ,ผู้หญิงคนหนึ่งนั่งอยู่บนเก้าอี้ในเมือง,ผู้หญิงนั่งบนม้านั่งในเมือง,2.1445300579071045
000000022396.jpg,เครื่องบินบินบินอยู่บนท้องฟ้า,an airplane is flying in the sky ,,,0.0
000000329542.jpg,ขนมเค้กกับกระเทียมและกระเทียมบนคาน,a cupcake with frosting and sprinkles on a counter ,,,0.0
000000135872.jpg,โต๊ะทํางานที่มีจอคอมพิวเตอร์ คีย์บอร์ดและหนู,"a desk with a computer monitor, keyboard and mouse ",,,0.0
000000372819.jpg,สุนัขไล่ล่ากลุ่มสุนัขด้วยสาย,a dog chasing a group of dogs on a leash ,สุนัขไล่กลุ่มสุนัขด้วยสาย,สุนัขไล่สุนัขตัวอื่นๆ ที่มีสายจูง,2.01243257522583
000000306733.jpg,"ห้องน้ํา พร้อมถ้วยน้ํา, สระน้ํา, กระจกและผ้าม่านน้ํา","a bathroom with a tub, sink, mirror and shower curtain ",,,0.0
000000249025.jpg,ถ้วยแก้วที่เต็มไปด้วยดอกไม้สีชมพูบนโต๊ะ,a glass vase filled with pink flowers on a table ,ถ้วยแก้วที่เต็มไปด้วยดอกไม้สีชมพูอยู่บนโต๊ะ,ขวดแก้วที่เต็มไปด้วยดอกสีชมพูบนโต๊ะ,2.2424545288085938
000000367818.jpg,ผู้หญิงที่ยืนอยู่ข้างม้าสีน้ําตาล ในสนามหญ้า,a woman standing next to a brown horse in a grassy field ,,,0.0
000000248631.jpg,คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะ,a laptop computer sitting on top of a desk ,คอมพิวเตอร์เล็ปท็อป ที่นั่งบนโต๊ะ,แล็ปท็อปคอมพิวเตอร์นั่งอยู่บนโต๊ะ,1.8111374378204343
000000078420.jpg,แมวที่นอนอยู่ข้างๆคอมพิวเตอร์เล็ปท็อป,a cat laying next to a laptop computer ,,,0.0
000000377588.jpg,นักเล่นเบสบอลที่โยนบอลบนสนาม,a baseball player pitching a ball on top of a field ,นักเล่นเบสบอลโยนบอลบนสนาม,นักเล่นเบสบอลเป่าลูกบอลบนสนาม,1.68281888961792
000000219485.jpg,หน้าต่างที่เปิดอยู่ข้างหน้าบ้าน,a window that is open in front of a house ,,,0.0
000000130465.jpg,อาคารที่มีนาฬิกาอยู่ด้านหน้า,a building with a clock on the front of it ,,,0.0
000000414133.jpg,ป้ายหยุดที่มุมถนน,a stop sign on the corner of a street ,,,0.0
000000112378.jpg,ก้อนกล้วยนั่งบนเก้าอี้ที่หน้าต้นปาล์ม,bunches of bananas sit on a bench in front of a palm tree ,ก้อนกล้วยนั่งอยู่บนเก้าอี้ที่หน้าต้นปาล์ม,กลุ่มของกล้วยนั่งบนม้านั่งตรงหน้าต้นปาล์ม,2.201912403106689
000000226111.jpg,"ป้ายที่บอกว่า ไม่มีที่จอดรถ"" บนถนน""","a sign that says no parking"" on a street """,,,0.0
000000203488.jpg,เครื่องจอดรถที่นั่งอยู่ข้างต้นไม้,a parking meter sitting next to a tree ,เครื่องจอดรถที่นั่งอยู่ข้างต้นไม้,รถจอดอยู่ใกล้ต้นไม้,1.9055054187774656
000000434996.jpg,แมวที่นอนบนผ้าห่ม ใกล้กับสัตว์ที่ใส่ผ้าห่ม,a cat sleeping on a blanket next to a bunch of stuffed animals ,,,0.0
000000142324.jpg,ชายขับมอเตอร์ไซค์ลงถนนที่มีคนเยอะๆ,a man riding a motorcycle down a busy street ,ชายคนนั้นขับมอเตอร์ไซค์ลงถนนที่มีคนเยอะ,ชายคนหนึ่งขี่มอเตอร์ไซค์ผ่านถนนที่พลุกพล่าน,2.5951290130615234
000000311295.jpg,แกะเจเบร่าที่ยืนอยู่บนสนามที่หญ้าหญ้าหญ้า หญ้าหญ้า,a herd of zebra standing on top of a dry grass covered field ,,,0.0
000000167353.jpg,นาฬิกาที่อยู่บนผนังในห้อง,a clock that is on the wall in a room ,นาฬิกาบนผนังในห้อง,นาฬิกาที่วางอยู่บนผนังในห้อง,1.6838853359222412
000000564336.jpg,คนที่นั่งที่โต๊ะในร้านอาหาร,a person sitting at a table in a restaurant ,,,0.0
000000457848.jpg,รถจักรยานยนต์อยู่แถวบนถนน,motorcycles are lined up on a street ,รถจักรยานยนต์อยู่แถวบนถนน,รถมอเตอร์ไซค์จอดอยู่บนถนน,1.777724266052246
000000493566.jpg,รถไฟที่นั่งบนรถไฟ,a train that is sitting on a train track ,,,0.0
000000200667.jpg,หัวสีดําและขาวยืนอยู่ภายในช่องเหล็ก,a black and white cow standing inside of a metal trough ,หัวสีดําและขาวยืนอยู่ภายในช่องเหล็ก,วัวสีดำและสีขาวยืนอยู่ในถังโลหะ,2.0257420539855957
000000331280.jpg,ม้าขาวที่ยืนอยู่หน้ากลุ่มคน,a white horse standing in front of a crowd of people ,,,0.0
000000079229.jpg,ชายที่นั่งหลังม้าสีน้ําตาลและสีขาว,a man riding on the back of a brown and white horse ,ชายคนนั้นนั่งหลังม้าสีน้ำตาลและสีขาว,ชายคนหนึ่งขี่ม้าสีน้ำตาลและขาว,2.0987164974212646
000000094157.jpg,สาขานาฬิกาที่สูงขึ้นเหนือเมือง,a tall clock tower towering over the city ,,,0.0
000000191471.jpg,สัญลักษณ์หยุดสีแดงและสีขาวที่นั่งบนเสา,a red and white stop sign sitting on top of a pole ,,,0.0
000000129113.jpg,กระเป๋าไม้ที่นั่งบนพื้นผิวไม้,a wooden spoon sitting on top of a wooden surface ,,,0.0
000000231339.jpg,สาวน้อยที่ยืนอยู่หน้าตู้เย็น,a young girl standing in front of a refrigerator ,สาวน้อยที่ยืนอยู่หน้าตู้เย็น,หญิงสาวยืนอยู่หน้าตู้เย็น,1.636878490447998
000000254814.jpg,กลุ่มคนจํานวนมากในถนน,a large group of people on a street ,,,0.0
000000038825.jpg,จีบราสองคนกินหญ้าในไร่,two zebras eating grass in a field ,จีบสองคนกินหญ้าในไร่,สองเสือกินหญ้าในสนามหญ้า,1.3796367645263672
000000446651.jpg,ชายกับเด็ก ขี่มอเตอร์ไซค์,a man and a child riding on a motorcycle ,,,0.0
000000312192.jpg,จานปิซซ่า บนโต๊ะ,a plate of pizza on a table ,จานปิซซ่าอยู่บนโต๊ะ,ถาดพิซซ่าบนโต๊ะ,1.4017784595489502
000000177015.jpg,ชายที่นั่งบนโซฟา พร้อมกับแมวอยู่บนเข่า,a man sitting on a couch with a cat on his lap ,,,0.0
000000473974.jpg,แกะเจ๊บรา ที่ยืนอยู่บนสนามหญ้า,a herd of zebra standing in a grassy field ,แกะเจ๊บรายืนอยู่บนสนามหญ้า,กลุ่มสิงโตยืนอยู่ในทุ่งหญ้า,1.9081544876098635
000000134322.jpg,กลุ่มคนจํานวนมาก ที่ยืนอยู่บนพื้นที่ที่หญ้าอยู่ใกล้กับน้ํา,a large group of people standing on a grassy area next to a body of water ,,,0.0
000000081766.jpg,หมานั่งบนเก้าอี้ไม้ติดกับไม้,a dog sitting on a wooden bench next to a bunch of logs ,สุนัขนั่งบนเก้าอี้ติดไม้,สุนัขนั่งอยู่บนที่นั่งไม้ ใกล้กับกองไม้,2.038939952850342
000000505451.jpg,คนที่นั่งบอร์ดเซอร์ฟบนคลื่น,a person riding a surfboard on top of a wave ,,,0.0
000000570456.jpg,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และหน้าต่างเล็ก,a living room filled with furniture and a small window ,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และหน้าต่างเล็ก,ห้องนั่งเล่นที่เต็มไปด้วยเฟอร์นิเจอร์และหน้าต่างเล็กๆ,2.910220146179199
000000512648.jpg,ม้าสีน้ําตาลที่ยืนอยู่ข้างต้นไม้,a brown horse standing next to a tree ,,,0.0
000000560266.jpg,หมีน้ําตาลสองตัว กําลังเล่นในน้ํา,two brown bears are playing in the water ,หมีน้ำตาลสองตัวกำลังเล่นอยู่ในน้ำ,หมีสีน้ำตาลสองตัวกำลังเล่นอยู่ในน้ำ,1.9582719802856443
000000258883.jpg,คนที่เตรียมอาหารบนโต๊ะ,a person preparing food on a table ,,,0.0
000000169356.jpg,นักกีฬาสเกตบอร์ดที่เล่นเทคนิคในอากาศ,a skateboarder doing a trick in the air ,นักกีฬาสเกตบอร์ดเล่นเทคนิคในอากาศ,นักเล่นสเก็ตบอร์ดกำลังทำเทคนิคในอากาศ,2.052685499191284
000000559842.jpg,เด็กๆ เล่นฟุตบอลที่สนาม,young children playing soccer on a field ,,,0.0
000000461751.jpg,ชายขับรถยนต์อยู่ข้างหลังกับชายอีกคน,a man riding on the back of a motorcycle next to another man ,ชายคนหนึ่งขับรถขณะที่อีกคนหนึ่งขับรถอยู่ข้างหลัง,ชายคนหนึ่งนั่งบนรถมอเตอร์ไซค์ด้านหลังของคนอื่น,3.428617238998413
000000010995.jpg,เตียงในห้องที่มีหน้าต่าง,a bed in a room with a window ,,,0.0
000000424162.jpg,ผู้หญิงขับรถจักรยานกับหมาติดเชือก,a woman riding a bike with a dog on a leash ,ผู้หญิงขับรถจักรยานพร้อมหมาติดเชือก,ผู้หญิงคนหนึ่งขี่จักรยานพร้อมสุนัขที่มีสายจูง,2.739421129226685
000000304180.jpg,ผู้หญิงในชุดสีแดงกําลังเล่นเกมโทรศัพท์,a woman in a red dress is playing a game on the phone ,,,0.0
000000482275.jpg,เจ้าสาวและเจ้าสาวตัดเค้กแต่งงาน,a bride and groom cutting a wedding cake ,เจ้าสาวและเจ้าสาวตัดเค้กแต่งงาน,แต่งงาน,1.7341084480285645
000000245026.jpg,ผู้หญิงที่ถือเค้กวันเกิดที่มีเทียนอยู่บนมัน,a woman holding a birthday cake with candles on it ,,,0.0
000000204329.jpg,บอร์ดเซอร์ฟ ที่นั่งบนชายหาดทราย,a surfboard sitting on top of a sandy beach ,บอร์ดเซอร์ฟที่นั่งบนชายหาดทราย,กระดานโต้คลื่นนั่งอยู่บนชายหาดทราย,1.8153061866760252
000000546011.jpg,จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า,two zebras standing next to each other in a grassy area ,,,0.0
000000466125.jpg,เด็กน้อยถือร่มสีชมพู,a little girl is holding a pink umbrella ,เด็กน้อยถือร่มสีชมพู,เด็กหญิงคนหนึ่งถือร่มสีชมพู,1.6346673965454102
000000005193.jpg,กลุ่มใหญ่ของคนที่แต่งตัวใส่เสื้อผ้า,a large group of people dressed up in costumes ,,,0.0
000000034452.jpg,คนที่ยืนอยู่ในป่าพร้อมกับฟริสบี,a person standing in the woods with a frisbee ,คนที่ยืนอยู่ในป่าพร้อมกับฟริสบี,คนคนหนึ่งยืนอยู่ในป่ากับลูกบอล,1.974783182144165
000000099039.jpg,โต๊ะที่มีแก้วไวน์และพิซซ่า,a table topped with glasses of wine and a pizza ,,,0.0
000000414638.jpg,ขนมขนมขนมขนม ขนมขนมขนมขนมขนมข,a piece of bread sits on a plate with a fork ,ขนมขนมขนมขนมขนมขนม,ขนมปังหนึ่งชิ้นนั่งอยู่บนจานกับส้อม,1.6590607166290283
000000021903.jpg,ผู้หญิงคนหนึ่งกําลังรักช้างในกระเป๋าเดินทาง,a woman is petting an elephant's trunk ,,,0.0
000000132116.jpg,ถ้วยที่เต็มไปด้วยบร็อกโคลีและเนื้อบนโต๊ะไม้,a bowl filled with broccoli and meat on a wooden table ,ถ้วยที่เต็มไปด้วยบร็อกโคลีและเนื้อบนโต๊ะไม้,ชามเต็มไปด้วยบรอคโคลีและเนื้อสัตว์บนโต๊ะไม้,2.482980966567993
000000522751.jpg,โคมไฟและเครื่องหมายถนนบนเสา,a traffic light and a street sign on a pole ,,,0.0
000000351589.jpg,ที่นั่งหน้าอาคารที่มีใบเขียว,a bench in front of a building with green leaves ,ที่นั่งหน้าอาคารที่มีใบเขียว,เก้าอี้อยู่ข้างหน้าตึกที่มีใบไม้สีเขียว,1.944541931152344
000000179653.jpg,นาฬิกาบนเสาหน้าป่า,a clock on a pole in front of a forest ,,,0.0
000000060770.jpg,จีบราสองตัวยืนอยู่ข้างๆกันในพื้นที่หญ้า,two zebras standing next to each other in a grassy area ,สองจีบยืนอยู่ข้างๆกันในพื้นที่หญ้า,สองเสือชีตาร์ยืนอยู่ข้างกันในพื้นหญ้า,2.1741864681243896
000000335450.jpg,ม้าสีน้ําตาลยืนอยู่ข้างม้าสีขาวในสนามหญ้า,a brown horse standing next to a white horse in a grassy field ,,,0.0
000000102805.jpg,ผู้ชายที่ถือฟริสบียืนอยู่ข้างทะเลสาบ,a man holding a frisbee standing next to a lake ,ผู้ชายคนหนึ่งยืนอยู่ข้างทะเลสาบ,ชายคนหนึ่งกำลังถือฟรีสไบย์อยู่ข้างริมทะเลสาบ,2.4287681579589844
000000199551.jpg,เด็กที่นอนบนเตียงพร้อมผ้าห่ม,a child laying on a bed with a blanket ,,,0.0
000000484404.jpg,รถบัสหยุดที่สถานีรถบัส,a bus is stopped at a bus stop ,รถบัสหยุดที่สถานีรถบัส,รถเมล์หยุดที่ป้ายรถเมล์,1.6341981887817383
000000005503.jpg,คนหนึ่งกําลังทําความสะอาดถ้วยห้องน้ําด้วยถ้วยมือ,a person is cleaning a toilet bowl with a handrail ,,,0.0
000000275727.jpg,รถไฟสีเหลืองและสีฟ้า เดินทางตามเส้นทาง,a yellow and blue train traveling down tracks ,รถไฟสีเหลืองและสีน้ำเงิน เดินทางตามเส้นทาง,รถไฟสีเหลืองและสีน้ำเงินกำลังเดินทางไปตามรางรถไฟ,2.620171546936035
000000049091.jpg,ถนนในเมืองที่มีเครื่องหมายมากมาย,a city street with many signs on it ,,,0.0
000000009772.jpg,ห้องน้ําที่มีถ้วยน้ํากระจก และถ้วยน้ํา,"a bathroom with a sink, mirror, and bath tub ",ห้องน้ำมีถ้วยกระจกและถ้วยน้ำ,ห้องน้ำที่มีอ่างอาบน้ำ กระจก และอ่างอาบน้ำ,2.337130069732666
000000520077.jpg,หนังสือที่วางบนโต๊ะ,a pile of books on top of a table ,,,0.0
000000451090.jpg,เรือขนาดเล็กบนน้ํา,a small boat on a body of water ,เรือขนาดเล็กบนน้ำ,เรือเล็ก ๆ บนน้ำ,1.0739388465881348
000000039551.jpg,นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม,a female tennis player in action on the court ,,,0.0
000000513283.jpg,ชิ้นปิซซ่าที่นั่งบนจานขาวบนโต๊ะ,a piece of pizza sitting on top of a white plate on a table ,ชิ้นปิซซ่าที่นั่งบนจานขาวบนโต๊ะ,พิซซ่าชิ้นหนึ่งนั่งอยู่บนจานสีขาวบนโต๊ะ,2.144315242767334
000000250758.jpg,เซเบร่าที่ยืนอยู่บนสนามเขียวเขียว,a zebra standing on a lush green field ,,,0.0
000000361919.jpg,นักสกีและนักสโนว์บอร์ดบนภูเขาที่มีหิมะ,skiers and snowboarders on a snowy mountain ,นักสกีและนักสโนว์บอร์ดบนภูเขาที่มีหิมะ,นักสกีและนักสโนว์บอร์ดบนภูเขาหิมะ,2.476806879043579
000000323709.jpg,เครื่องบินขนาดใหญ่ ที่นั่งบนสนามที่ครอบคลุมกับหญ้า,a large jetliner sitting on top of a grass covered field ,,,0.0
000000312406.jpg,บานาน กาแฟ และกระเป๋ามะเขือเทศนั่งบนโต๊ะ,"a banana, a cup of coffee, and a bag of nuts sit on a counter ",บานานกาแฟและกระเป๋ามะเขือเทศนั่งบนโต๊ะ,กล้วย กาแฟ และเมล็ดพืชอยู่บนเคาน์เตอร์,2.353900194168091
000000076547.jpg,ชายที่นั่งบนเก้าอี้ข้างรถไฟ,a man sitting on a bench next to a train ,,,0.0
000000244833.jpg,รถมอเตอร์ไซค์อยู่แถวแถวในห้อง,motorcycles are lined up in a row in a room ,รถมอเตอร์ไซค์อยู่ในห้อง,รถมอเตอร์ไซค์จัดเรียงเป็นแถวๆ ในห้อง,2.147307872772217
000000356347.jpg,หม้อที่เต็มไปด้วยเหลวมากมายบนเตา,a pot filled with lots of liquid on top of a stove ,,,0.0
000000398652.jpg,โต๊ะที่เต็มไปด้วยดอกไม้,a table topped with a vase filled with flowers ,โต๊ะที่เต็มไปด้วยดอกไม้,โต๊ะที่มีกล่องดอกไม้เต็มไปด้วยดอกไม้,1.988741159439087
000000033854.jpg,รถจักรยานที่จอดอยู่ข้างๆกัน,motorcycles parked next to each other ,,,0.0
000000090155.jpg,รถไฟที่เดินทางตามเส้นทางรถไฟใกล้ป่า,a train traveling down train tracks near a forest ,รถไฟที่เดินทางตามเส้นทางรถไฟใกล้ป่า,รถไฟเดินทางตามรางรถไฟใกล้ป่า,2.382647752761841
000000134722.jpg,รถไฟบนเส้นทาง ใกล้กับเว็บไซต์,a train on a track near a platform ,,,0.0
